"Brand","Price","Image","Screen","CPU","RAM","VGA","OS","Weight","Link"
"HP",26490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/16/636384743489659561_HP-Envy-13-ad076TU.png",13.3,"Intel Core i7 8550U",8,"Intel® UHD Graphics 620 Shared","Windows 10 Home",1.22,"https://fptshop.com.vn//may-tinh-xach-tay/HP-Envy-13-ah0027TUCore-i7-8550U"
"HP",12990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/8/8/636378051749718059_HP-Pavilion-14-bf014TU.png",14,"Intel Core i3 8145U",4,"Intel® HD Graphics 600 Shared ","Windows 10 Home SL 64",1.55,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce1014tu-core-i3-8145u"
"HP",15290000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/28/636789952813002312_HP-Pavilion-14-ce1008TU.png",14,"Intel Core i5 8265U",4,"intel Shared ","Windows 10 Home",1.6,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-14-ce1008tu-core-i5-8265u"
"HP",16290000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/25/636787542889551288_HP-Pavilion-15-cs1045TX.png",15.6,"Intel Core i5 8265U",4,"NVIDIA GeForce MX130 2 GB","Windows 10 Home SL 64",1.874,"https://fptshop.com.vn//may-tinh-xach-tay/hp-pavilion-15-cs1045tx-i5-8265u"
"Lenovo",12990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/27/636868629264737301_lenovo-ideapad-330s-daidien-2.png",14,"Intel Kaby Lake R Core i5-8250U",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home",1.67,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-330s-14ikbr"
"Lenovo",10990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2019/2/27/636868629264737301_lenovo-ideapad-330s-daidien-2.png",14,"Intel Kaby Lake R Core i3-7020U",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home",1.67,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-Ideapad-330s-14ikb-81f400nmvn"
"Lenovo",11990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/10/24/636444590671126608_1o.png",14,"Intel core i3 7130U",4,"Intel HD Graphics 620 Shared","Win 10 Home",1.78,"https://fptshop.com.vn//may-tinh-xach-tay/Lenovo-Yoga-520-14IKB-i3-7130U"
"Lenovo",15990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2017/7/26/636366639106484424_Lenovo-ThinkPad-E570.png",15.6,"Intel Core i5 7200U",4,"NVIDIA Geforce 940M (2G) 2 GB","Windows 10 Single Language Home",2.3,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-thinkpad-e570"
"Lenovo",10990000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/8/1/636687395218517725_Lenovo-330-onyx-black.png",14,"Intel Kaby Lake R Core i5-8250U",4,"Intel® UHD Graphics 620 Shared","Windows 10 Home",2.1,"https://fptshop.com.vn//may-tinh-xach-tay/lenovo-ideapad-330-14ikbr"
"HP",22490000,"https://images.fpt.shop/unsafe/fit-in/240x215/filters:quality(90):fill(white)/cdn.fptshop.com.vn/Uploads/Originals/2018/11/28/636789966129956048_HP-Envy-13-ah1011TU.png",13.3,"Intel Core i5 8265U",8,"intel Shared ","Windows 10 Home",1.21,"https://fptshop.com.vn//may-tinh-xach-tay/hp-envy-13-ah1011tu-core-i5-8265u"
